participant,wcst_accuracy,RL_group
247707.0,0.41,0
557453.0,0.42,0
726906.0,0.42,0
501414.0,0.43,0
362780.0,0.47,0
406595.0,0.48,0
823460.0,0.5,0
875596.0,0.5,0
157836.0,0.51,0
963191.0,0.52,0
774789.0,0.52,0
951797.0,0.54,0
977008.0,0.55,0
905859.0,0.55,0
467445.0,0.55,0
819705.0,0.57,0
484881.0,0.58,0
506218.0,0.59,0
332088.0,0.59,0
528482.0,0.59,0
291694.0,0.59,0
941737.0,0.59,0
216437.0,0.6,0
316448.0,0.6,0
141199.0,0.6,0
722573.0,0.61,0
738408.0,0.61,0
250040.0,0.61,0
987993.0,0.62,0
869019.0,0.63,0
299933.0,0.63,0
541645.0,0.64,0
377849.0,0.64,0
924198.0,0.64,0
402320.0,0.65,0
379824.0,0.65,0
595728.0,0.65,0
998593.0,0.65,0
896860.0,0.66,0
934851.0,0.66,0
564369.0,0.66,0
867257.0,0.67,0
622387.0,0.67,0
632838.0,0.67,0
847759.0,0.67,0
327094.0,0.67,0
438964.0,0.68,0
601236.0,0.68,1
120307.0,0.69,1
816404.0,0.69,1
358099.0,0.69,1
414391.0,0.7,1
203965.0,0.7,1
479010.0,0.7,1
371360.0,0.7,1
433277.0,0.71,1
293551.0,0.71,1
875693.0,0.71,1
865667.0,0.72,1
160188.0,0.72,1
445799.0,0.72,1
493614.0,0.72,1
882397.0,0.72,1
414065.0,0.73,1
598693.0,0.73,1
195458.0,0.73,1
226288.0,0.74,1
889968.0,0.74,1
431418.0,0.74,1
852903.0,0.74,1
140183.0,0.74,1
293897.0,0.75,1
196015.0,0.75,1
537080.0,0.75,1
984020.0,0.76,1
690573.0,0.76,1
739085.0,0.76,1
702467.0,0.76,1
355131.0,0.76,1
234513.0,0.76,1
321015.0,0.76,1
844810.0,0.76,1
657902.0,0.76,1
130501.0,0.76,1
554054.0,0.77,1
929907.0,0.77,1
717182.0,0.77,1
586518.0,0.77,1
528653.0,0.77,1
135202.0,0.77,2
357250.0,0.77,2
136469.0,0.77,2
304171.0,0.77,2
311536.0,0.78,2
976061.0,0.78,2
521567.0,0.78,2
601407.0,0.78,2
685375.0,0.78,2
296742.0,0.78,2
193611.0,0.78,2
709691.0,0.79,2
701738.0,0.79,2
818967.0,0.79,2
464878.0,0.79,2
855028.0,0.79,2
188798.0,0.79,2
578085.0,0.79,2
706034.0,0.79,2
739375.0,0.79,2
897924.0,0.79,2
948299.0,0.79,2
117200.0,0.79,2
174705.0,0.79,2
317920.0,0.8,2
647658.0,0.8,2
684712.0,0.8,2
461852.0,0.8,2
216377.0,0.8,2
130202.0,0.8,2
364516.0,0.8,2
507361.0,0.8,2
152049.0,0.8,2
513724.0,0.81,2
599007.0,0.81,2
559530.0,0.81,2
674647.0,0.81,2
461272.0,0.81,2
979785.0,0.82,2
937746.0,0.82,2
279127.0,0.82,2
895883.0,0.82,2
873417.0,0.82,3
812735.0,0.82,3
153366.0,0.82,3
667664.0,0.82,3
722252.0,0.82,3
412246.0,0.82,3
640181.0,0.82,3
352526.0,0.82,3
864636.0,0.83,3
723258.0,0.83,3
122240.0,0.83,3
358494.0,0.83,3
663372.0,0.83,3
524310.0,0.83,3
117306.0,0.83,3
211021.0,0.83,3
960412.0,0.83,3
107700.0,0.83,3
459223.0,0.83,3
573978.0,0.83,3
388021.0,0.84,3
794450.0,0.84,3
793438.0,0.84,3
438401.0,0.84,3
260309.0,0.84,3
100934.0,0.84,3
486018.0,0.84,3
678629.0,0.84,3
952799.0,0.84,3
612204.0,0.84,3
420839.0,0.84,3
891096.0,0.85,3
469441.0,0.85,3
388850.0,0.85,3
615351.0,0.85,3
438446.0,0.85,3
737724.0,0.85,3
440534.0,0.85,3
491090.0,0.85,3
485561.0,0.85,3
948158.0,0.85,3
936870.0,0.85,3
276141.0,0.85,4
223992.0,0.85,4
223984.0,0.85,4
489027.0,0.86,4
165654.0,0.86,4
663604.0,0.86,4
552414.0,0.86,4
866118.0,0.86,4
644865.0,0.86,4
819142.0,0.86,4
190562.0,0.87,4
103322.0,0.87,4
672956.0,0.87,4
971229.0,0.87,4
628718.0,0.87,4
709209.0,0.87,4
951022.0,0.87,4
948779.0,0.87,4
360939.0,0.87,4
208212.0,0.87,4
895200.0,0.87,4
183102.0,0.87,4
889197.0,0.87,4
919015.0,0.87,4
468185.0,0.88,4
652890.0,0.88,4
892549.0,0.88,4
393191.0,0.88,4
235651.0,0.88,4
720294.0,0.88,4
438865.0,0.88,4
572735.0,0.88,4
271279.0,0.88,4
840021.0,0.89,4
291756.0,0.89,4
699794.0,0.89,4
664687.0,0.89,4
256218.0,0.89,4
217762.0,0.89,4
397451.0,0.9,4
978676.0,0.91,4
