participant,Welcome_Screen:1,participant_code:1,age:1,gender:1,handedness:1,education:1,income:1,computer_hours:1,wcst_task:1,n_back_task:1,corsi_block_span_task:1,fitts_law:1,navon_task:1,TIME_start,TIME_end,TIME_total
s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,welcome_screen.2021-05-25-1602.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,816404,28,2,1,3,6,20,WCST_Task.2021-05-25-1612.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,N_Back_Task.2021-05-25-1617.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,Corsi_Block_Span_Task.2021-05-25-1619.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,Fitts_Law.2021-05-25-1620.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,Navon_Task.2021-05-25-1623.data.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,2021-05-25-16-01,2021-05-25-16-23,22,
s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,welcome_screen.2021-05-25-1610.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,221478,25,2,1,4,7,60,WCST_Task.2021-05-25-1624.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,N_Back_Task.2021-05-25-1629.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,Corsi_Block_Span_Task.2021-05-25-1630.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,Fitts_Law.2021-05-25-1631.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,Navon_Task.2021-05-25-1634.data.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,2021-05-25-16-10,2021-05-25-16-34,24,
s.b36334f4-c3dd-4d1b-b2e4-f0bee8be7d31.txt,welcome_screen.2021-05-25-1639.data.b36334f4-c3dd-4d1b-b2e4-f0bee8be7d31.txt,192208,29,1,1,3,6,5,"","","","","",2021-05-25-16-39,"",""
s.35c74094-fc8a-4fc8-8ac2-3b4522be09ff.txt,welcome_screen.2021-05-25-1554.data.35c74094-fc8a-4fc8-8ac2-3b4522be09ff.txt,803102,47,1,1,3,7,74,"","","","","",2021-05-25-15-54,"",""
s.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,welcome_screen.2021-05-25-1600.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,844810,32,2,1,3,6,22,WCST_Task.2021-05-25-1611.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,N_Back_Task.2021-05-25-1616.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,Corsi_Block_Span_Task.2021-05-25-1617.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,Fitts_Law.2021-05-25-1619.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,Navon_Task.2021-05-25-1621.data.727f9e4c-2eab-4d01-8176-cd62d77d550a.txt,2021-05-25-16-00,2021-05-25-16-21,21,
s.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,welcome_screen.2021-05-25-1610.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,388850,34,1,1,3,4,16,WCST_Task.2021-05-25-1618.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,N_Back_Task.2021-05-25-1623.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,Corsi_Block_Span_Task.2021-05-25-1625.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,Fitts_Law.2021-05-25-1626.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,Navon_Task.2021-05-25-1629.data.a96ff720-ce4d-436d-ba17-68cf2e1c0b08.txt,2021-05-25-16-10,2021-05-25-16-29,19,
s.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,welcome_screen.2021-05-29-2325.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,951022,20,1,2,2,2,60,WCST_Task.2021-05-29-2333.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,N_Back_Task.2021-05-29-2337.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,Corsi_Block_Span_Task.2021-05-29-2339.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,Fitts_Law.2021-05-29-2340.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,Navon_Task.2021-05-29-2343.data.6879f011-dbd0-4950-a4d9-fd584a69571d.txt,2021-05-29-23-24,2021-05-29-23-43,19,
s.80030803-5a07-4092-bc96-77675a1d5a18.txt,welcome_screen.2021-05-25-1802.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,739085,25,1,1,2,7,55,WCST_Task.2021-05-25-1813.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,N_Back_Task.2021-05-25-1819.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,Corsi_Block_Span_Task.2021-05-25-1820.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,Fitts_Law.2021-05-25-1822.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,Navon_Task.2021-05-25-1825.data.80030803-5a07-4092-bc96-77675a1d5a18.txt,2021-05-25-18-00,2021-05-25-18-25,25,
s.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,welcome_screen.2021-05-29-2212.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,709691,62,2,1,2,2,20,WCST_Task.2021-05-29-2223.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,N_Back_Task.2021-05-29-2229.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,Corsi_Block_Span_Task.2021-05-29-2230.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,Fitts_Law.2021-05-29-2231.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,Navon_Task.2021-05-29-2235.data.326d9a59-5bee-47d1-a029-8ebe06338d76.txt,2021-05-29-22-12,2021-05-29-22-35,23,
s.4348af28-1424-41b8-82cd-2447904f94c1.txt,welcome_screen.2021-05-25-1633.data.4348af28-1424-41b8-82cd-2447904f94c1.txt,155997,18,2,3,2,9,94,"","","","","",2021-05-25-16-33,"",""
