,participant,reward,status,action,rule,rule_correct,rule_used,n_t
0,816404.0,1,1,1,shape,shape,shape,0
1,816404.0,1,1,1,shape,shape,shape,1
2,816404.0,1,1,1,shape,shape,shape,2
3,816404.0,1,1,1,shape,shape,shape,3
4,816404.0,1,1,1,shape,shape,shape,4
5,816404.0,1,1,1,shape,shape,shape,5
6,816404.0,1,1,1,shape,shape,shape,6
7,816404.0,1,1,1,shape,shape,shape,7
8,816404.0,1,1,1,shape,shape,shape,8
9,816404.0,1,1,1,shape,shape,shape,9
10,816404.0,0,2,1,number,number,shape,10
11,816404.0,0,2,3,number,number,color,11
12,816404.0,0,2,3,number,number,color,12
13,816404.0,1,1,2,number,number,number,13
14,816404.0,1,1,2,number,number,number,14
15,816404.0,1,1,2,number,number,number,15
16,816404.0,1,1,2,number,number,number,16
17,816404.0,1,1,2,number,number,number,17
18,816404.0,1,1,2,number,number,number,18
19,816404.0,0,2,1,color,color,shape,19
20,816404.0,0,2,2,color,color,number,20
21,816404.0,0,2,1,color,color,shape,21
22,816404.0,0,2,2,color,color,number,22
23,816404.0,1,1,3,color,color,color,23
24,816404.0,1,1,3,color,color,color,24
25,816404.0,0,2,1,color,color,shape,25
26,816404.0,0,2,1,color,color,shape,26
27,816404.0,1,1,1,shape,shape,shape,27
28,816404.0,1,1,1,shape,shape,shape,28
29,816404.0,1,1,1,shape,shape,shape,29
30,816404.0,1,1,1,shape,shape,shape,30
31,816404.0,1,1,1,shape,shape,shape,31
32,816404.0,1,1,1,shape,shape,shape,32
33,816404.0,1,1,1,shape,shape,shape,33
34,816404.0,0,2,2,shape,shape,number,34
35,816404.0,0,2,1,number,number,shape,35
36,816404.0,0,2,3,number,number,color,36
37,816404.0,0,2,3,number,number,color,37
38,816404.0,1,1,2,number,number,number,38
39,816404.0,1,1,2,number,number,number,39
40,816404.0,1,1,2,number,number,number,40
41,816404.0,1,1,2,number,number,number,41
42,816404.0,0,2,1,color,color,shape,42
43,816404.0,1,1,3,color,color,color,43
44,816404.0,1,1,3,color,color,color,44
45,816404.0,1,1,3,color,color,color,45
46,816404.0,1,1,3,color,color,color,46
47,816404.0,0,2,1,number,number,shape,47
48,816404.0,0,2,3,number,number,color,48
49,816404.0,0,2,1,number,number,shape,49
50,816404.0,1,1,2,number,number,number,50
51,816404.0,0,2,1,number,number,shape,51
52,816404.0,1,1,2,number,number,number,52
53,816404.0,0,2,2,shape,shape,number,53
54,816404.0,0,2,2,shape,shape,number,54
55,816404.0,0,2,3,shape,shape,color,55
56,816404.0,0,2,2,shape,shape,number,56
57,816404.0,1,1,1,shape,shape,shape,57
58,816404.0,0,2,2,shape,shape,number,58
59,816404.0,1,1,1,shape,shape,shape,59
60,816404.0,0,2,1,color,color,shape,60
61,816404.0,0,2,1,color,color,shape,61
62,816404.0,1,1,3,color,color,color,62
63,816404.0,1,1,3,color,color,color,63
64,816404.0,1,1,3,color,color,color,64
65,816404.0,1,1,1,shape,shape,shape,65
66,816404.0,1,1,1,shape,shape,shape,66
67,816404.0,1,1,1,shape,shape,shape,67
68,816404.0,1,1,1,shape,shape,shape,68
69,816404.0,1,1,1,shape,shape,shape,69
70,816404.0,0,2,3,number,number,color,70
71,816404.0,0,2,3,number,number,color,71
72,816404.0,0,2,1,number,number,shape,72
73,816404.0,0,2,3,number,number,color,73
74,816404.0,0,2,3,number,number,color,74
75,816404.0,1,1,2,number,number,number,75
76,816404.0,1,1,2,number,number,number,76
77,816404.0,0,2,2,shape,shape,number,77
78,816404.0,1,1,1,shape,shape,shape,78
79,816404.0,1,1,1,shape,shape,shape,79
80,816404.0,1,1,1,shape,shape,shape,80
81,816404.0,1,1,1,shape,shape,shape,81
82,816404.0,1,1,1,shape,shape,shape,82
83,816404.0,1,1,3,color,color,color,83
84,816404.0,1,1,3,color,color,color,84
85,816404.0,1,1,3,color,color,color,85
86,816404.0,1,1,3,color,color,color,86
87,816404.0,1,1,3,color,color,color,87
88,816404.0,1,1,1,shape,shape,shape,88
89,816404.0,1,1,1,shape,shape,shape,89
90,816404.0,1,1,1,shape,shape,shape,90
91,816404.0,1,1,1,shape,shape,shape,91
92,816404.0,1,1,1,shape,shape,shape,92
93,816404.0,1,1,1,shape,shape,shape,93
94,816404.0,1,1,3,color,color,color,94
95,816404.0,1,1,3,color,color,color,95
96,816404.0,1,1,3,color,color,color,96
97,816404.0,1,1,3,color,color,color,97
98,816404.0,1,1,3,color,color,color,98
99,816404.0,1,1,3,color,color,color,99
100,221478.0,0,2,2,shape,shape,number,0
